family,params,mae,rmse,status,note
cnn,"{""representation"": ""image"", ""filters"": [16, 8], ""dense_units"": 23, ""dropout"": 0.04697025537922084, ""learning_rate"": 0.0014187079131473244, ""epochs"": 400, ""augment_rounds"": 1, ""loss"": ""mse""}",28.092336828058418,31.76322419482571,ok,
cnn,"{""representation"": ""image"", ""filters"": [8, 16, 16], ""dense_units"": 41, ""dropout"": 0.26444745987645224, ""learning_rate"": 0.001368009527972693, ""epochs"": 400, ""augment_rounds"": 0, ""loss"": ""mse""}",28.258598154241387,31.93824223372693,ok,
cnn,"{""representation"": ""image"", ""filters"": [8, 32], ""dense_units"": 26, ""dropout"": 0.4408676809274264, ""learning_rate"": 0.0024269631383790876, ""epochs"": 300, ""augment_rounds"": 2, ""loss"": ""mse""}",28.75522769581188,32.33830233339626,ok,
cnn,"{""representation"": ""image"", ""filters"": [8, 8], ""dense_units"": 19, ""dropout"": 0.06773703211122512, ""learning_rate"": 0.00039497049285898227, ""epochs"": 300, ""augment_rounds"": 2, ""loss"": ""huber""}",29.91722436384721,33.1249209028339,ok,
cnn,"{""representation"": ""image"", ""filters"": [32, 16, 32], ""dense_units"": 59, ""dropout"": 0.12437657175997902, ""learning_rate"": 0.0014200860749035516, ""epochs"": 300, ""augment_rounds"": 2, ""loss"": ""huber""}",30.75081409107555,32.43493852939302,ok,
monotone_mlp,"{""representation"": ""total"", ""hidden"": [56, 53], ""l2"": 0.0008260052593468142, ""learning_rate"": 0.08971291406484973, ""epochs"": 100, ""loss"": ""huber""}",33.29741842096502,37.868567784518504,ok,
cnn,"{""representation"": ""image"", ""filters"": [32, 8, 16], ""dense_units"": 57, ""dropout"": 0.26092416087503584, ""learning_rate"": 0.0006750312521595928, ""epochs"": 200, ""augment_rounds"": 3, ""loss"": ""huber""}",33.629023638638586,39.32805788542893,ok,
cnn,"{""representation"": ""image"", ""filters"": [8, 8], ""dense_units"": 19, ""dropout"": 0.34881559796363243, ""learning_rate"": 0.00013196262418422217, ""epochs"": 300, ""augment_rounds"": 3, ""loss"": ""mse""}",33.68714196573604,39.18138495352568,ok,
cnn,"{""representation"": ""image"", ""filters"": [16, 16, 32], ""dense_units"": 35, ""dropout"": 0.49942350328393326, ""learning_rate"": 0.00019901994840577003, ""epochs"": 400, ""augment_rounds"": 0, ""loss"": ""mse""}",35.537907513705164,38.83524430770755,ok,
monotone_mlp,"{""representation"": ""physical"", ""hidden"": [4], ""l2"": 0.013954045864229972, ""learning_rate"": 0.00010329669551879738, ""epochs"": 500, ""loss"": ""huber""}",37.65205209905451,43.603149356846636,ok,
feature_mlp,"{""representation"": ""physical"", ""hidden"": [25, 6, 5], ""l2"": 3.7769545138788986e-05, ""learning_rate"": 0.0012334805700860026, ""epochs"": 500, ""loss"": ""huber""}",38.24983501434326,47.60168662817942,ok,
cnn,"{""representation"": ""image"", ""filters"": [32, 32, 16], ""dense_units"": 61, ""dropout"": 0.302422759872523, ""learning_rate"": 0.0030097273776147323, ""epochs"": 100, ""augment_rounds"": 1, ""loss"": ""huber""}",46.45552305741744,52.57180260254232,ok,
cnn,"{""representation"": ""image"", ""filters"": [16, 8], ""dense_units"": 11, ""dropout"": 0.3265541627326992, ""learning_rate"": 0.00032105778495503974, ""epochs"": 200, ""augment_rounds"": 1, ""loss"": ""mse""}",47.52063111283562,55.64481021349775,ok,
cnn,"{""representation"": ""image"", ""filters"": [16, 8], ""dense_units"": 8, ""dropout"": 0.013861346623984222, ""learning_rate"": 0.0090894719755917, ""epochs"": 100, ""augment_rounds"": 4, ""loss"": ""mse""}",55.15003230355003,62.75975516018151,ok,
feature_mlp,"{""representation"": ""physical"", ""hidden"": [4], ""l2"": 0.013954045864229972, ""learning_rate"": 0.00010329669551879738, ""epochs"": 500, ""loss"": ""huber""}",107.42757346413352,125.73837777931445,ok,
