filename,rul,group,cone_c,cone_px,body_c,body_px,pylon_c,pylon_px,total_c,max_c,mean_c,gradient_c,hot_fraction,hist_00,hist_01,hist_02,hist_03,hist_04,hist_05,hist_06,hist_07,hist_08,hist_09,hist_10,hist_11,hist_12,hist_13,hist_14,hist_15
003h.jpeg,3.0,87558ffda7c6792a47be7255423eb13f,827.3615635179152,138840.0,1193.8110749185666,402084.0,1193.8110749185666,53907.0,3214.9837133550486,1193.8110749185666,1071.6612377850163,-366.44951140065143,0.9999024933132268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027755782734928073,0.23063525606432753,0.0,0.0,0.0,0.7665891656621797
005h.jpeg,5.0,87558ffda7c6792a47be7255423eb13f,827.3615635179152,138840.0,1193.8110749185666,402084.0,1193.8110749185666,53907.0,3214.9837133550486,1193.8110749185666,1071.6612377850163,-366.44951140065143,0.9999024933132268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027755782734928073,0.23063525606432753,0.0,0.0,0.0,0.7665891656621797
024h.jpeg,24.0,4dac2bf1c41a47ea1547db3b29ec80b7,657.328990228013,138802.0,827.3615635179152,404760.0,1193.8110749185666,53907.0,2678.501628664495,1193.8110749185666,892.8338762214984,-536.4820846905536,0.7676833442404544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2322865286734542,3.012708609149596e-05,0.00447387228458715,0.672983870292852,0.0,0.0,0.0,0.09022560166301516
026h.jpeg,26.0,4dac2bf1c41a47ea1547db3b29ec80b7,657.328990228013,138802.0,827.3615635179152,404760.0,1193.8110749185666,53907.0,2678.501628664495,1193.8110749185666,892.8338762214984,-536.4820846905536,0.7676833442404544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2322865286734542,3.012708609149596e-05,0.00447387228458715,0.672983870292852,0.0,0.0,0.0,0.09022560166301516
047h.jpeg,47.0,8b2bf893eead3f49ef75c0fd7b40832a,657.328990228013,138802.0,827.3615635179152,404760.0,827.3615635179152,55057.0,2312.0521172638437,827.3615635179152,770.6840390879479,-170.0325732899022,0.7681296450663945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318402857243088,3.006920929673131e-05,0.006359637766258672,0.7617700073001358,0.0,0.0,0.0,0.0
051h.jpeg,51.0,8b2bf893eead3f49ef75c0fd7b40832a,657.328990228013,138802.0,827.3615635179152,404760.0,827.3615635179152,55057.0,2312.0521172638437,827.3615635179152,770.6840390879479,-170.0325732899022,0.7681296450663945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318402857243088,3.006920929673131e-05,0.006359637766258672,0.7617700073001358,0.0,0.0,0.0,0.0
073h.jpeg,73.0,bc54a48abd2ff4f9d7ce9afdd33795e4,0.3257328990228013,137465.0,657.328990228013,404758.0,827.3615635179152,55057.0,1485.0162866449512,827.3615635179152,495.0054288816503,-827.0358306188924,0.09217954728100723,0.23015168765068308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6776687650683096,0.0,0.0018986070184837931,0.09028094026252344,0.0,0.0,0.0,0.0
076h.jpeg,76.0,bc54a48abd2ff4f9d7ce9afdd33795e4,0.3257328990228013,137465.0,657.328990228013,404758.0,827.3615635179152,55057.0,1485.0162866449512,827.3615635179152,495.0054288816503,-827.0358306188924,0.09217954728100723,0.23015168765068308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6776687650683096,0.0,0.0018986070184837931,0.09028094026252344,0.0,0.0,0.0,0.0
078h.jpeg,78.0,1b32598733da6b33df85db7fa11bc4e1,0.3257328990228013,137465.0,0.3257328990228013,402084.0,657.328990228013,55055.0,657.9804560260586,657.328990228013,219.32681867535288,-657.0032573289902,0.0,0.9074089646218323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09259103537816765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
082h.jpeg,82.0,1b32598733da6b33df85db7fa11bc4e1,0.3257328990228013,137465.0,0.3257328990228013,402084.0,657.328990228013,55055.0,657.9804560260586,657.328990228013,219.32681867535288,-657.0032573289902,0.0,0.9074089646218323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09259103537816765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100h.jpeg,100.0,c2ee1eeaa7845b1b4047d4b9017a6834,0.3257328990228013,137465.0,0.3257328990228013,402084.0,0.3257328990228013,53907.0,0.9771986970684039,0.3257328990228013,0.3257328990228013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
